,index,hotbit,gaussian
345,345.0,-2840.467255822681,
346,346.0,-2840.4639191940714,
347,347.0,-2840.462904830752,
348,348.0,-2840.462715822354,
349,349.0,-2840.445006788978,
350,350.0,-2840.444186502012,
351,351.0,-2840.4418810549664,
352,352.0,-2840.4283185340337,
353,353.00000000000006,-2840.4219152543856,
354,353.99999999999994,-2840.4145368797745,
355,355.0,-2840.412728039683,
356,356.0,-2840.401840816792,
357,357.0,-2840.3980100101103,
358,358.0,-2840.396641330486,
359,359.0,-2840.393010642904,
360,360.0,-2840.3789284857157,
361,361.0,-2840.3561293553566,
362,362.0,-2840.3504054579657,
363,363.00000000000006,-2840.3437588130064,
364,364.00000000000006,-2840.3403328180825,
365,364.99999999999994,-2840.3265815161153,
366,366.0,-2840.3205900603707,
367,367.0,-2840.316799842155,
368,368.0,-2840.299672453462,
369,369.0,-2840.275261211638,
370,370.0,-2840.234506201188,
371,371.0,-2840.2238766510636,
372,372.0,-2840.2168084319937,
373,373.0,-2840.208535432884,
374,374.00000000000006,-2840.2028296040453,
375,375.00000000000006,-2840.202398906249,
376,375.99999999999994,-2840.181868096997,
377,377.0,-2840.1798866381923,
378,378.0,-2840.1747531521437,
379,379.0,-2840.1720235470552,
380,380.0,-2840.1543820438515,
381,381.0,-2840.137316500982,
382,382.0,-2840.1370484938443,
383,383.0,-2840.095139090805,
384,384.0,-2840.0940592893594,
385,385.00000000000006,-2840.088355712285,
386,385.99999999999994,-2840.0586669800223,
387,386.99999999999994,-2840.030861211021,
388,388.0,-2840.023560474295,
389,389.0,-2840.0097480966247,
390,390.0,-2839.9880644913214,
391,391.0,-2839.9654519383676,
392,392.0,-2839.958077520809,
393,393.0,-2839.9226106856167,
394,394.0,-2839.8980848372335,
395,395.0,-2839.8741659720276,
396,396.00000000000006,-2839.8523244116086,
397,396.99999999999994,-2839.8324742934255,
398,397.99999999999994,-2839.824790111503,
399,399.0,-2839.78243448159,
400,400.0,-2839.77840163104,
401,401.0,-2839.7757112205277,
